1665672000000,1222.21000000,1225.01000000,1221.34000000,1221.82000000,3778.66020000,1665672299999,4620442.02422200,4086,1943.74030000,2376774.58783200,0
1665672300000,1221.82000000,1224.69000000,1221.23000000,1223.87000000,2965.49940000,1665672599999,3627346.86760600,4196,1569.45230000,1919629.50490800,0
1665672600000,1223.88000000,1224.00000000,1221.23000000,1222.51000000,2773.02490000,1665672899999,3389782.31109600,4260,1478.19880000,1806932.21878800,0
1665672900000,1222.50000000,1224.81000000,1221.54000000,1222.02000000,2927.67060000,1665673199999,3580378.64864500,3494,1533.88880000,1875917.26447600,0
1665673200000,1222.03000000,1223.65000000,1220.59000000,1223.45000000,2709.31790000,1665673499999,3310106.43558300,3596,1244.00320000,1519930.70205300,0
1665673500000,1223.44000000,1235.00000000,1222.97000000,1232.74000000,7955.63030000,1665673799999,9772357.51173500,7630,4084.24710000,5017891.49962900,0
1665673800000,1232.74000000,1239.00000000,1231.01000000,1238.99000000,5787.12950000,1665674099999,7141294.68547200,6571,3187.91750000,3934204.93993500,0
1665674100000,1238.99000000,1251.25000000,1236.53000000,1246.85000000,18272.72000000,1665674399999,22734924.21286100,16423,9903.02830000,12322293.44442900,0
1665674400000,1246.85000000,1254.43000000,1245.55000000,1246.80000000,14265.01000000,1665674699999,17834691.33561900,13363,7742.73260000,9680463.33049500,0
1665674700000,1246.80000000,1250.79000000,1244.58000000,1248.83000000,5433.49370000,1665674999999,6779310.96922100,6815,2878.40720000,3591418.82482500,0
1665675000000,1248.82000000,1250.18000000,1246.25000000,1248.08000000,3938.35600000,1665675299999,4917856.87631000,6246,1955.97500000,2442328.80366700,0
1665675300000,1248.08000000,1261.64000000,1248.07000000,1257.97000000,13147.23080000,1665675599999,16507602.73915700,13496,7552.19400000,9483108.75013000,0
1665675600000,1257.97000000,1267.14000000,1256.76000000,1257.58000000,13082.16860000,1665675899999,16511327.75675000,14131,6709.11780000,8468776.25015700,0
1665675900000,1257.58000000,1259.63000000,1255.26000000,1256.23000000,7170.62960000,1665676199999,9014422.20199900,8032,3147.08800000,3956183.81175800,0
1665676200000,1256.24000000,1259.53000000,1254.17000000,1257.41000000,4523.06030000,1665676499999,5685875.78542000,6339,2446.39190000,3075569.14522600,0
1665676500000,1257.40000000,1258.25000000,1254.12000000,1256.90000000,2874.40900000,1665676799999,3610199.58281100,4988,1387.93370000,1743228.18639200,0
1665676800000,1256.90000000,1260.86000000,1255.73000000,1260.73000000,4986.13100000,1665677099999,6275145.86054500,6426,2796.75910000,3519980.45914900,0
1665677100000,1260.72000000,1262.94000000,1259.11000000,1259.82000000,4508.29770000,1665677399999,5684926.16022600,5849,2220.71230000,2800128.58513600,0
1665677400000,1259.81000000,1261.06000000,1253.79000000,1254.47000000,4766.65310000,1665677699999,5990908.85304400,5766,2189.86280000,2752208.75928400,0
1665677700000,1254.47000000,1256.11000000,1251.30000000,1252.12000000,4136.41990000,1665677999999,5182657.44884300,5395,1782.75310000,2233532.43850900,0
1665678000000,1252.13000000,1254.76000000,1251.23000000,1253.00000000,3853.82280000,1665678299999,4829164.62409200,5150,2165.93070000,2714058.48186700,0
1665678300000,1253.01000000,1254.51000000,1252.36000000,1253.53000000,2378.24640000,1665678599999,2981284.25131000,3306,811.33820000,1016991.39029500,0
1665678600000,1253.54000000,1259.60000000,1253.12000000,1259.34000000,2889.73750000,1665678899999,3632248.35889800,4614,1727.63110000,2171595.26411200,0
1665678900000,1259.33000000,1262.28000000,1259.28000000,1260.50000000,3440.99460000,1665679199999,4338486.48900400,4945,2173.21850000,2740167.15526300,0
1665679200000,1260.50000000,1270.85000000,1260.50000000,1270.07000000,6371.12600000,1665679499999,8074298.99028600,8301,3565.32270000,4517410.16746400,0
1665679500000,1270.08000000,1270.42000000,1266.77000000,1268.35000000,3385.72100000,1665679799999,4293592.83676000,5187,1808.11970000,2293014.86201400,0
1665679800000,1268.34000000,1268.75000000,1264.27000000,1265.13000000,3874.79810000,1665680099999,4908076.76388500,5106,1824.39090000,2311181.58790500,0
1665680100000,1265.12000000,1267.25000000,1264.10000000,1265.30000000,1875.20110000,1665680399999,2373125.20821900,3230,847.97330000,1073132.37773800,0
1665680400000,1265.31000000,1270.50000000,1265.30000000,1269.33000000,3610.63720000,1665680699999,4578434.30589700,4174,2212.66540000,2805870.04707400,0
1665680700000,1269.45000000,1270.09000000,1265.82000000,1266.34000000,1784.14570000,1665680999999,2261374.23569400,3194,744.93870000,944247.09329400,0
1665681000000,1266.35000000,1268.57000000,1266.04000000,1267.52000000,1486.93810000,1665681299999,1884471.55852400,2753,683.47150000,866140.62372000,0
1665681300000,1267.51000000,1276.13000000,1266.69000000,1273.40000000,4082.64840000,1665681599999,5189541.14449100,5504,2231.71760000,2837165.71868200,0
1665681600000,1273.40000000,1276.03000000,1272.16000000,1272.91000000,4186.82710000,1665681899999,5335009.12173500,5004,1955.16390000,2491279.50937200,0
1665681900000,1272.91000000,1275.63000000,1270.61000000,1271.93000000,3243.75340000,1665682199999,4129955.74293300,4197,1889.86410000,2405708.74758400,0
1665682200000,1271.93000000,1282.28000000,1271.78000000,1279.63000000,8208.14760000,1665682499999,10492645.32190500,8742,4719.18790000,6030952.59789800,0
1665682500000,1279.63000000,1281.06000000,1276.48000000,1276.85000000,4389.31600000,1665682799999,5614885.15573100,5277,2361.11250000,3020710.63790800,0
1665682800000,1276.85000000,1278.24000000,1275.00000000,1275.60000000,2245.92350000,1665683099999,2867202.16545400,3501,1075.17680000,1372630.33705000,0
1665683100000,1275.60000000,1277.47000000,1275.43000000,1277.26000000,2200.32540000,1665683399999,2808206.38118900,2626,1113.88320000,1421644.88730800,0
1665683400000,1277.27000000,1279.49000000,1275.10000000,1275.87000000,1836.34110000,1665683699999,2344904.69757800,3000,851.92420000,1087826.34046300,0
1665683700000,1275.87000000,1276.30000000,1274.78000000,1275.10000000,1644.90550000,1665683999999,2097647.79612700,2319,1015.02060000,1294345.40780300,0
1665684000000,1275.09000000,1276.70000000,1273.58000000,1274.86000000,2539.59660000,1665684299999,3237523.05038800,3482,1223.54900000,1559800.26321200,0
1665684300000,1274.86000000,1276.00000000,1272.20000000,1272.37000000,1897.10240000,1665684599999,2416882.03754200,3187,879.47380000,1120552.46090600,0
1665684600000,1272.37000000,1274.25000000,1271.68000000,1273.24000000,1344.98010000,1665684899999,1712247.17983000,2281,555.70820000,707489.01088400,0
1665684900000,1273.24000000,1276.20000000,1273.24000000,1275.29000000,1432.20320000,1665685199999,1826048.41010500,2533,716.75640000,913802.78864900,0
1665685200000,1275.29000000,1276.77000000,1274.67000000,1275.95000000,1525.84180000,1665685499999,1946927.65750600,2606,797.10230000,1017051.94375700,0
1665685500000,1275.96000000,1275.96000000,1270.88000000,1271.33000000,1636.10400000,1665685799999,2081923.43581700,3116,745.24860000,948370.92783600,0
1665685800000,1271.33000000,1274.00000000,1271.32000000,1271.96000000,1260.84940000,1665686099999,1604767.04903500,2297,645.18790000,821143.55850100,0
1665686100000,1271.96000000,1273.10000000,1271.09000000,1271.29000000,1806.70440000,1665686399999,2297711.56211600,2623,833.82900000,1060410.18001600,0
1665686400000,1271.29000000,1273.47000000,1271.20000000,1273.34000000,3491.61490000,1665686699999,4442031.81006700,2687,2436.05180000,3099127.45370700,0
1665686700000,1273.35000000,1285.17000000,1272.77000000,1279.96000000,11925.93650000,1665686999999,15279016.43582100,9917,7095.09900000,9089101.39957700,0
1665687000000,1279.96000000,1284.90000000,1279.74000000,1283.09000000,5089.03220000,1665687299999,6528483.70549400,6718,3013.89970000,3866046.46336700,0
1665687300000,1283.09000000,1290.00000000,1283.08000000,1285.68000000,9637.19490000,1665687599999,12405882.50427600,9200,6314.15010000,8127150.02615800,0
1665687600000,1285.67000000,1289.57000000,1284.64000000,1287.32000000,4779.13090000,1665687899999,6152145.35683700,6135,2537.23230000,3266156.30595800,0
1665687900000,1287.33000000,1294.18000000,1287.32000000,1293.34000000,6817.11040000,1665688199999,8799837.82804900,7441,3912.40850000,5049312.75033900,0
1665688200000,1293.33000000,1294.89000000,1287.97000000,1288.26000000,3482.41700000,1665688499999,4498539.68446400,5017,1427.68740000,1844959.77862900,0
1665688500000,1288.25000000,1290.00000000,1285.54000000,1285.54000000,2793.70120000,1665688799999,3598396.51751100,3572,1167.68840000,1504163.74590400,0
1665688800000,1285.54000000,1288.60000000,1285.30000000,1286.60000000,3579.49950000,1665689099999,4606006.30076600,4252,1792.80060000,2307028.79982100,0
1665689100000,1286.59000000,1287.91000000,1284.62000000,1285.55000000,3033.03660000,1665689399999,3900020.00815600,3790,1481.57300000,1905260.24689300,0
1665689400000,1285.57000000,1287.72000000,1283.95000000,1285.13000000,1894.16770000,1665689699999,2435401.22031000,3068,841.02600000,1081242.01697500,0
1665689700000,1285.12000000,1286.39000000,1284.98000000,1286.25000000,2188.07080000,1665689999999,2813583.32195700,2075,871.90430000,1121080.29519100,0
1665690000000,1286.25000000,1287.80000000,1286.05000000,1287.37000000,2842.48090000,1665690299999,3658038.26303200,2352,1979.31630000,2547176.51300500,0
1665690300000,1287.38000000,1287.60000000,1284.48000000,1284.76000000,1693.25470000,1665690599999,2178147.15298000,2307,832.79380000,1071358.18532300,0
1665690600000,1284.75000000,1287.82000000,1283.67000000,1285.92000000,1802.93490000,1665690899999,2318534.76645900,2568,811.34530000,1043539.76624000,0
1665690900000,1285.93000000,1287.08000000,1284.66000000,1287.03000000,1075.75920000,1665691199999,1383507.98907700,1861,460.73580000,592549.97210000,0
1665691200000,1287.04000000,1289.49000000,1286.46000000,1288.77000000,2160.75650000,1665691499999,2783905.57495400,3072,1450.35610000,1868724.89134900,0
1665691500000,1288.76000000,1292.32000000,1288.76000000,1292.22000000,1372.17050000,1665691799999,1771064.44139800,2055,721.68900000,931522.45153800,0
1665691800000,1292.22000000,1301.58000000,1291.20000000,1297.00000000,9468.54680000,1665692099999,12286090.29793000,10031,5648.42350000,7328275.12068500,0
1665692100000,1297.00000000,1299.00000000,1295.39000000,1297.72000000,2562.04350000,1665692399999,3323108.73759700,3973,1575.41610000,2043246.86309700,0
1665692400000,1297.72000000,1300.16000000,1295.56000000,1295.81000000,2195.08920000,1665692699999,2849593.46618700,3778,1169.02930000,1517636.71124400,0
1665692700000,1295.81000000,1296.64000000,1293.56000000,1294.89000000,2321.90200000,1665692999999,3007226.50145000,2901,1172.64250000,1518739.71012200,0
1665693000000,1294.89000000,1295.71000000,1294.10000000,1294.51000000,1142.42900000,1665693299999,1479436.57543700,1858,551.62830000,714314.43897000,0
1665693300000,1294.51000000,1295.26000000,1293.31000000,1294.24000000,839.81610000,1665693599999,1087200.28816500,1587,422.37990000,546755.25324800,0
1665693600000,1294.23000000,1295.59000000,1294.13000000,1294.49000000,1182.40260000,1665693899999,1531020.47735400,1646,602.56290000,780131.91031400,0
1665693900000,1294.50000000,1295.45000000,1292.92000000,1293.42000000,1539.12380000,1665694199999,1991888.20049500,2139,694.02650000,898322.03533800,0
1665694200000,1293.41000000,1295.25000000,1293.21000000,1294.00000000,1463.77660000,1665694499999,1894514.55944200,1995,927.53410000,1200460.51702800,0
1665694500000,1294.01000000,1294.62000000,1293.33000000,1293.65000000,1022.44430000,1665694799999,1322992.81915600,1816,432.93360000,560206.58414000,0
1665694800000,1293.65000000,1295.68000000,1293.65000000,1295.46000000,1309.70620000,1665695099999,1695681.53008100,1512,861.55870000,1115393.16216200,0
1665695100000,1295.45000000,1296.09000000,1295.02000000,1295.03000000,1744.28370000,1665695399999,2259864.45692200,1672,913.58260000,1183569.70893900,0
1665695400000,1295.03000000,1295.17000000,1294.54000000,1294.63000000,589.80950000,1665695699999,763704.52713000,1030,275.08310000,356189.84129400,0
1665695700000,1294.64000000,1295.00000000,1294.26000000,1294.99000000,896.40120000,1665695999999,1160498.64812700,1118,641.92560000,831025.57468400,0
1665696000000,1295.00000000,1296.40000000,1294.99000000,1295.18000000,741.91380000,1665696299999,961333.18980600,1324,345.19090000,447234.67652200,0
1665696300000,1295.17000000,1295.18000000,1293.93000000,1293.94000000,634.34250000,1665696599999,821201.16135900,1145,270.04720000,349594.97137800,0
1665696600000,1293.93000000,1294.19000000,1289.63000000,1291.04000000,1499.26770000,1665696899999,1935315.25808900,2202,351.57930000,453891.06217400,0
1665696900000,1291.05000000,1293.19000000,1291.04000000,1292.79000000,925.07680000,1665697199999,1195548.71616300,1625,509.02490000,657727.44664100,0
1665697200000,1292.78000000,1293.41000000,1292.25000000,1292.37000000,1143.99270000,1665697499999,1478887.44287300,1662,661.96870000,855766.79725500,0
1665697500000,1292.37000000,1293.37000000,1291.89000000,1293.26000000,528.39780000,1665697799999,682875.89016100,1237,283.79190000,366778.44780500,0
1665697800000,1293.26000000,1293.50000000,1292.97000000,1293.45000000,239.07060000,1665698099999,309198.77386300,757,141.91840000,183545.45181400,0
1665698100000,1293.45000000,1295.62000000,1293.44000000,1294.84000000,1381.50610000,1665698399999,1788857.79294400,2404,792.97470000,1026757.15581200,0
