Open time,Open,High,Low,Close,Volume,Bull power,Bear power,-----,Money,Coins

1.669852800000000000e+12,1.294460000000000036e+03,1.295880000000000109e+03,1.286210000000000036e+03,1.290210000000000036e+03,2.386806690000000162e+04,nan,nan,nan,1.000000000000000000e+06,0.000000000000000000e+00
1.669856400000000000e+12,1.290210000000000036e+03,1.292740000000000009e+03,1.282849999999999909e+03,1.285769999999999982e+03,1.553717029999999977e+04,4.750000000000000000e+00,-5.140000000000100044e+00,9.890000000000100044e+00,9.987126566500000190e+05,1.000000000000000000e+00
1.669860000000000000e+12,1.285769999999999982e+03,1.289210000000000036e+03,1.281200000000000045e+03,1.286700000000000045e+03,1.645518200000000070e+04,2.974999999999909051e+00,-5.035000000000081855e+00,8.009999999999990905e+00,9.974239926400000695e+05,2.000000000000000000e+00
1.669863600000000000e+12,1.286710000000000036e+03,1.291000000000000000e+03,1.286390000000000100e+03,1.288019999999999982e+03,1.700896510000000126e+04,3.574999999999818101e+00,-1.035000000000081855e+00,4.609999999999899956e+00,9.961395607450000243e+05,3.000000000000000000e+00
1.669867200000000000e+12,1.288019999999999982e+03,1.289420000000000073e+03,1.282440000000000055e+03,1.283789999999999964e+03,1.816449100000000180e+04,4.418333333333521296e+00,-2.561666666666496894e+00,6.980000000000018190e+00,9.948564294999999693e+05,4.000000000000000000e+00
1.669870800000000000e+12,1.283779999999999973e+03,1.286880000000000109e+03,1.276130000000000109e+03,1.282490000000000009e+03,1.813665260000000126e+04,3.552777777777919255e+00,-7.197222222222080745e+00,1.075000000000000000e+01,9.935712672399999574e+05,5.000000000000000000e+00
1.669874400000000000e+12,1.282500000000000000e+03,1.286119999999999891e+03,1.282069999999999936e+03,1.284519999999999982e+03,1.218282870000000003e+04,1.997592592592582150e+00,-2.052407407407372375e+00,4.049999999999954525e+00,9.922918678599999985e+05,6.000000000000000000e+00
1.669878000000000000e+12,1.284519999999999982e+03,1.284809999999999945e+03,1.278599999999999909e+03,1.278759999999999991e+03,1.075755709999999999e+04,4.262530864197515257e+00,-1.947469135802521123e+00,6.210000000000036380e+00,9.910074359649999533e+05,7.000000000000000000e+00
1.669881600000000000e+12,1.278759999999999991e+03,1.286329999999999927e+03,1.277279999999999973e+03,1.283789999999999964e+03,1.502664090000000033e+04,3.620843621399217227e+00,-5.429156378600737298e+00,9.049999999999954525e+00,9.897231341349999420e+05,8.000000000000000000e+00
1.669885200000000000e+12,1.283789999999999964e+03,1.284029999999999973e+03,1.278259999999999991e+03,1.283660000000000082e+03,1.941900879999999961e+04,6.869478737996814743e-01,-5.083052126200300336e+00,5.769999999999981810e+00,9.884421239499999210e+05,9.000000000000000000e+00
1.669888800000000000e+12,1.283670000000000073e+03,1.285079999999999927e+03,1.279759999999999991e+03,1.280369999999999891e+03,2.022700639999999839e+04,3.718982624599902920e+00,-1.601017375400033416e+00,5.319999999999936335e+00,9.871585424799999455e+05,1.000000000000000000e+01
1.669892400000000000e+12,1.280369999999999891e+03,1.283000000000000000e+03,1.277579999999999927e+03,1.282940000000000055e+03,1.873313620000000083e+04,5.863275415333646379e-01,-4.833672458466708122e+00,5.420000000000072760e+00,9.858694582599999849e+05,1.100000000000000000e+01
