1.643673600000000000e+12,2.686940000000000055e+03,2.706000000000000000e+03,2.673519999999999982e+03,2.689050000000000182e+03,1.461291259999999966e+04,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.643677200000000000e+12,2.689039999999999964e+03,2.702000000000000000e+03,2.678789999999999964e+03,2.684539999999999964e+03,1.106809809999999925e+04,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.643680800000000000e+12,2.684539999999999964e+03,2.719000000000000000e+03,2.680079999999999927e+03,2.715079999999999927e+03,1.280310859999999957e+04,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.643684400000000000e+12,2.715090000000000146e+03,2.757900000000000091e+03,2.709300000000000182e+03,2.751619999999999891e+03,3.000854702000000179e+04,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.643688000000000000e+12,2.751630000000000109e+03,2.767309999999999945e+03,2.734000000000000000e+03,2.743969999999999800e+03,1.484209610000000066e+04,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.643691600000000000e+12,2.743969999999999800e+03,2.751750000000000000e+03,2.731570000000000164e+03,2.732849999999999909e+03,1.140128499999999985e+04,nan,nan,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.643695200000000000e+12,2.732849999999999909e+03,2.739159999999999854e+03,2.718219999999999800e+03,2.733230000000000018e+03,1.110637609999999950e+04,1.768285714285684662e+01,-3.257142857143207948e+00,2.094000000000005457e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643698800000000000e+12,2.733219999999999800e+03,2.746559999999999945e+03,2.732210000000000036e+03,2.736690000000000055e+03,7.894094299999999748e+03,1.827714285714273501e+01,3.927142857142825960e+00,1.434999999999990905e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643702400000000000e+12,2.736690000000000055e+03,2.766000000000000000e+03,2.732000000000000000e+03,2.765650000000000091e+03,1.223127260000000024e+04,2.837535714285695576e+01,-5.624642857143044239e+00,3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.643706000000000000e+12,2.765280000000000200e+03,2.796789999999999964e+03,2.728969999999999800e+03,2.735400000000000091e+03,3.563956910000000062e+04,5.972151785714277139e+01,-8.098482142857392319e+00,6.782000000000016371e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643709600000000000e+12,2.735400000000000091e+03,2.746349999999999909e+03,2.719000000000000000e+03,2.735960000000000036e+03,1.574827629999999954e+04,9.558638392857119470e+00,-1.779136160714278958e+01,2.734999999999990905e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643713200000000000e+12,2.735949999999999818e+03,2.769800000000000182e+03,2.729989999999999782e+03,2.761320000000000164e+03,1.873536590000000069e+04,2.687647879464293510e+01,-1.293352120535746508e+01,3.981000000000040018e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643716800000000000e+12,2.761309999999999945e+03,2.788960000000000036e+03,2.754760000000000218e+03,2.781230000000000018e+03,1.741196299999999974e+04,3.645985909598221042e+01,2.259859095982392319e+00,3.419999999999981810e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643720400000000000e+12,2.781230000000000018e+03,2.804989999999999782e+03,2.766260000000000218e+03,2.791610000000000127e+03,2.243710099999999875e+04,4.271239432198626673e+01,3.982394321986703289e+00,3.872999999999956344e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.643724000000000000e+12,2.791599999999999909e+03,2.811260000000000218e+03,2.756300000000000182e+03,2.771449999999999818e+03,3.271639410000000134e+04,4.668929574149024120e+01,-8.270704258509795181e+00,5.496000000000003638e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.643727600000000000e+12,2.771460000000000036e+03,2.773679999999999836e+03,2.732050000000000182e+03,2.768539999999999964e+03,2.662408329999999842e+04,8.116971806116907828e+00,-3.351302819388274656e+01,4.162999999999965439e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643731200000000000e+12,2.768139999999999873e+03,2.813000000000000000e+03,2.766179999999999836e+03,2.801989999999999782e+03,2.078357770000000164e+04,3.833022885458785822e+01,-8.489771145412305486e+00,4.682000000000016371e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.643734800000000000e+12,2.801980000000000018e+03,2.809000000000000000e+03,2.765480000000000018e+03,2.782010000000000218e+03,1.668892620000000170e+04,3.249517164094095278e+01,-1.102482835905902903e+01,4.351999999999998181e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.643738400000000000e+12,2.782000000000000000e+03,2.801110000000000127e+03,2.760000000000000000e+03,2.768320000000000164e+03,1.143812130000000070e+04,2.665137873070580099e+01,-1.445862126929432634e+01,4.111000000000012733e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.643742000000000000e+12,2.768320000000000164e+03,2.777280000000000200e+03,2.750440000000000055e+03,2.751019999999999982e+03,1.191598780000000079e+04,8.681034048029232508e+00,-1.815896595197091301e+01,2.684000000000014552e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643745600000000000e+12,2.751030000000000200e+03,2.786000000000000000e+03,2.750420000000000073e+03,2.770079999999999927e+03,9.831583099999999831e+03,1.703077553602179250e+01,-1.854922446397813474e+01,3.557999999999992724e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.643749200000000000e+12,2.769559999999999945e+03,2.797659999999999854e+03,2.769380000000000109e+03,2.796579999999999927e+03,1.003144590000000062e+04,2.178808165201598968e+01,-6.491918347983755666e+00,2.827999999999974534e+01,0.000000000000000000e+00,0.000000000000000000e+00
